system:index,ET
2010_01_01,27.741717749478376
2010_01_09,25.04256203835662
2010_01_17,24.214931749639227
2010_01_25,26.233465602039598
2010_02_02,32.81565168411739
2010_02_10,32.13869123901668
2010_02_18,42.421115944611444
2010_02_26,59.3324414136894
2010_03_06,56.12200245396728
2010_03_14,91.60288845968022
2010_03_22,103.6828763726613
2010_03_30,88.99209283384673
2010_04_07,107.38414954813462
2010_04_15,121.19988335966744
2010_04_23,174.39814695889245
2010_05_01,145.88468363661562
2010_05_09,158.51876719547397
2010_05_17,244.57193468797996
2010_05_25,254.42780596898115
2010_06_02,309.1559229827932
2010_06_10,276.1120257934806
2010_06_18,273.33632765802366
2010_06_26,312.43557822103105
2010_07_04,255.372048128044
2010_07_12,244.19167387459217
2010_07_20,210.62607713704898
2010_07_28,201.71025227491134
2010_08_05,191.05370711047172
2010_08_13,174.08878942264204
2010_08_21,203.69811142674007
2010_08_29,162.28664650047745
2010_09_06,162.25325481902755
2010_09_14,142.4458717007334
2010_09_22,106.61295459607416
2010_09_30,114.1329962719738
2010_10_08,78.48523742922818
2010_10_16,47.95171524513493
2010_10_24,56.93200792781712
2010_11_01,49.04315624870778
2010_11_09,38.67907062307323
2010_11_17,25.812855898838222
2010_11_25,25.941644062845825
2010_12_03,20.737744238665123
2010_12_11,20.200174585606103
2010_12_19,20.830364993820226
2010_12_27,14.671963818411772
2011_01_01,21.814563696249667
2011_01_09,23.148310862492256
2011_01_17,28.318129867859888
2011_01_25,28.212985656427822
2011_02_02,35.30430799125369
2011_02_10,41.69762243631669
2011_02_18,41.6178723192784
2011_02_26,53.86244771949068
2011_03_06,69.97230339502892
2011_03_14,78.69595062418276
2011_03_22,97.71022460382567
2011_03_30,126.57533380674239
2011_04_07,130.99825926969322
2011_04_15,184.1261253776997
2011_04_23,208.2413610067615
2011_05_01,236.3946798994884
2011_05_09,219.35581988888455
2011_05_17,251.79135187312966
2011_05_25,240.59008610678148
2011_06_02,238.38779288851842
2011_06_10,222.98665035085648
2011_06_18,221.92556009310488
2011_06_26,257.3895140844674
2011_07_04,234.88794738430408
2011_07_12,207.32560473005177
2011_07_20,198.31617488074076
2011_07_28,234.3586217182945
2011_08_05,208.23333930085855
2011_08_13,252.99729379858556
2011_08_21,196.29558162727588
2011_08_29,190.77929996403626
2011_09_06,174.65882619890638
2011_09_14,153.14183075150177
2011_09_22,159.66182457569295
2011_09_30,117.97724522376961
2011_10_08,75.73919440852362
2011_10_16,52.549872852759016
2011_10_24,62.60951872893869
2011_11_01,45.851499134118804
2011_11_09,34.169679397338896
2011_11_17,41.08869081029298
2011_11_25,25.728624278597824
2011_12_03,25.54550970182632
2011_12_11,25.6114015828275
2011_12_19,18.57291074481995
2011_12_27,13.399038708466644
2012_01_01,27.421349107263005
2012_01_09,27.9997721775381
2012_01_17,28.493341474024472
2012_01_25,34.28354322467739
2012_02_02,34.02979774854351
2012_02_10,34.72854446708859
2012_02_18,47.821580868244226
2012_02_26,66.8291084801531
2012_03_05,80.7433680692342
2012_03_13,85.49705945431856
2012_03_21,81.88129661794501
2012_03_29,89.7900581555981
2012_04_06,98.22091788198726
2012_04_14,101.49158010464599
2012_04_22,136.64062171095304
2012_04_30,178.5969265615304
2012_05_08,218.51041134098844
2012_05_16,237.53469441563536
2012_05_24,297.68508551938993
2012_06_01,243.73443170166655
2012_06_09,220.384926695847
2012_06_17,255.35601887639234
2012_06_25,289.96544138283167
2012_07_03,288.7136739582309
2012_07_11,251.32230592581467
2012_07_19,249.63296460942556
2012_07_27,255.59367276366115
2012_08_04,244.56872303634916
2012_08_12,235.7730667381067
2012_08_20,204.4057089855217
2012_08_28,175.81220629899215
2012_09_05,156.7637122710975
2012_09_13,136.81558195552526
2012_09_21,101.22339610122262
2012_09_29,102.2860101128317
2012_10_07,70.26646556112532
2012_10_15,71.79372401913034
2012_10_23,47.60875588483069
2012_10_31,37.68799490090117
2012_11_08,29.936864980491183
2012_11_16,23.77172572492088
2012_11_24,29.69869086616462
2012_12_02,17.46306591233672
2012_12_10,19.525408874193335
2012_12_18,20.24709409160847
2012_12_26,21.72860499860512
