system:index,uncertainty
20091231_20100130,1.757083745
20100131_20100227,1.750782112
20100228_20100330,1.885138862
20100331_20100429,1.700917981
20100430_20100530,1.721736683
20100531_20100629,2.108329742
20100630_20100730,1.693059125
20100731_20100830,1.562879077
20100831_20100929,1.604364675
20100930_20101030,1.711164596
20101031_20101129,1.798608572
20101130_20101226,1.915497806
20101227_10110130,-9999
20110207_20110227,2.231831534
20110228_20110330,2.070643001
20110331_20110429,1.927255323
20110430_20110530,1.815042851
20110531_20110630,-9999
20110704_20110730,1.956360429
20110731_20110830,1.791348952
20110831_20110929,1.718522302
20110930_20111030,1.644215162
20111016_20111115,1.689515326
20111216_20120114,1.614516828
20111231_20120130,1.525442326
20120131_20120228,1.662526123
20120229_20120330,1.527840736
20120319_20120418,1.856432239
20120419_20120530,-9999
20120531_20120629,1.689976249
20120630_20120730,1.60673246
20120731_20120830,1.561671345
20120831_20120923,1.787724642
20121105_20121129,1.814391498
20121130_20121230,1.64331864
20121231_20130130,1.606879549
