system:index,total_evaporation_hourly
19800101T00,-6.705902353242613e-06
19800101T01,-6.899810481971879e-06
19800101T02,-3.177980249478235e-06
19800101T03,-3.960660245941412e-07
19800101T04,2.132713188103637e-06
19800101T05,2.455370016848541e-06
19800101T06,2.1879456428762433e-06
19800101T07,1.396784069833353e-06
19800101T08,1.697485960220785e-07
19800101T09,-1.2498918577989477e-05
19800101T10,-2.6687451400801507e-05
19800101T11,-4.4221383482689894e-05
19800101T12,-4.9577411279924705e-05
19800101T13,-4.913801082449752e-05
19800101T14,-4.019726765867478e-05
19800101T15,-2.334398630972871e-05
19800101T16,-7.86530119982247e-06
19800101T17,-2.5535277548626386e-06
19800101T18,1.5106335779563957e-07
19800101T19,2.290553049829367e-06
19800101T20,2.6398361741860485e-06
19800101T21,3.648719030407664e-06
19800101T22,5.166547579381283e-06
19800101T23,3.945222863168319e-06
19800102T00,4.3790972076631724e-06
19800102T01,1.7639404489243418e-06
19800102T02,1.3858313239080049e-06
19800102T03,-3.361804890045247e-06
19800102T04,-3.900261478713222e-06
19800102T05,-5.299150196411837e-06
19800102T06,-5.777040697970225e-06
19800102T07,-8.404063715657106e-06
19800102T08,-7.924515523610392e-06
19800102T09,-1.247446500997266e-05
19800102T10,-2.5018642221215603e-05
19800102T11,-4.266586713173483e-05
19800102T12,-5.4298201057423336e-05
19800102T13,-5.383360304303445e-05
19800102T14,-4.515089998146437e-05
19800102T15,-2.152455685385317e-05
19800102T16,-6.968948824464441e-06
19800102T17,-3.186296970565584e-06
19800102T18,-6.674420799429965e-07
19800102T19,-2.5277644615745505e-07
19800102T20,2.394502021067086e-06
19800102T21,1.949826368823278e-06
19800102T22,1.0535043928634093e-06
19800102T23,8.026505656921288e-07
19800103T00,-1.4360323578927086e-06
19800103T01,-2.786716169795048e-07
19800103T02,2.5995087614269344e-07
19800103T03,-6.97939829639224e-07
19800103T04,-6.803860984808886e-07
19800103T05,-2.06668857381395e-07
19800103T06,-1.2666591467352076e-06
19800103T07,-4.66283249585892e-07
19800103T08,-3.3187401130830284e-08
19800103T09,-2.5157626541170303e-06
19800103T10,-1.0470136342883804e-05
19800103T11,-2.005270375410206e-05
19800103T12,-2.9263992025513735e-05
19800103T13,-3.307294754237447e-05
19800103T14,-2.9132740023916727e-05
19800103T15,-1.8859635373325235e-05
19800103T16,-8.880037683249953e-06
19800103T17,-3.8544528133694545e-06
19800103T18,-2.542172465266449e-06
19800103T19,-5.489601487444482e-07
19800103T20,5.473680366499197e-07
19800103T21,-1.1335140807978685e-06
19800103T22,-2.7812206232548545e-06
19800103T23,-4.26038494957109e-06
19800104T00,-6.041164962127802e-06
19800104T01,-6.8591229337817066e-06
19800104T02,-7.07209941387885e-06
19800104T03,-7.81906244085205e-06
19800104T04,-8.189347228400167e-06
19800104T05,-8.622431450840239e-06
19800104T06,-9.107961337952104e-06
19800104T07,-1.0091777210988935e-05
19800104T08,-9.989926304249967e-06
19800104T09,-1.0851002819093109e-05
19800104T10,-1.3007192838975271e-05
19800104T11,-1.4607552221788656e-05
19800104T12,-1.2332367126870467e-05
19800104T13,-6.326365242764363e-06
19800104T14,3.505603155429204e-07
19800104T15,7.958111491295658e-06
19800104T16,1.4352839410943666e-05
19800104T17,1.818026665958057e-05
19800104T18,2.036294986747183e-05
19800104T19,1.750586710745562e-05
19800104T20,2.031564237307524e-05
19800104T21,1.9644183501725612e-05
19800104T22,1.9176115038804624e-05
19800104T23,1.7996873171950216e-05
19800105T00,1.769890762514062e-05
19800105T01,1.7229448083422777e-05
19800105T02,1.6470926566899022e-05
19800105T03,1.6195488131872884e-05
19800105T04,1.4871998331741455e-05
19800105T05,1.34918010628631e-05
19800105T06,1.0531368518454162e-05
19800105T07,9.926847659133402e-06
19800105T08,7.5989378306759454e-06
19800105T09,3.866738685467603e-06
19800105T10,-2.839291403478775e-07
19800105T11,-4.410643615585563e-06
19800105T12,-8.783064422159702e-06
19800105T13,-8.87519575428732e-06
19800105T14,-2.763298215730163e-06
19800105T15,1.1051574622914273e-06
19800105T16,6.429897835535978e-06
19800105T17,6.8708429493523015e-06
19800105T18,5.175829602533982e-06
19800105T19,7.886466343155892e-06
19800105T20,6.096034924892927e-06
19800105T21,6.845475511008704e-06
19800105T22,6.307525374902726e-06
19800105T23,6.5556234568862446e-06
19800106T00,5.95586853898164e-06
19800106T01,5.3921099458594026e-06
19800106T02,3.389593090129271e-06
19800106T03,3.1084508759631906e-06
19800106T04,1.099297239100367e-06
19800106T05,7.57704717341321e-07
19800106T06,1.212097669941183e-06
19800106T07,4.61929471132662e-06
19800106T08,3.927684446948119e-06
19800106T09,-4.362232312532562e-06
19800106T10,-7.39159718892684e-06
19800106T11,-1.3081341238264271e-05
19800106T12,-1.9010009950425415e-05
19800106T13,-2.3836001117302797e-05
19800106T14,-1.7766487881429777e-05
19800106T15,-7.60661803592693e-06
19800106T16,-1.780658103793217e-06
19800106T17,-2.869398093475626e-07
19800106T18,-1.0482495434025204e-06
19800106T19,9.683764807704706e-07
19800106T20,-8.650458007805664e-08
19800106T21,-6.347769986055021e-07
19800106T22,-9.7546663994812e-07
19800106T23,-5.270604551327478e-07
19800107T00,-1.7567548619972751e-06
19800107T01,-1.1527199139806635e-06
19800107T02,-1.307425820520297e-06
19800107T03,-1.9000301025726813e-06
19800107T04,-2.3431136154841115e-06
19800107T05,-2.386288225821303e-06
19800107T06,-2.4089449768607024e-06
19800107T07,4.488355439187714e-07
19800107T08,6.986256781802564e-07
19800107T09,-5.9014290096238055e-06
19800107T10,-1.3570646338597388e-05
19800107T11,-2.2777675070097945e-05
19800107T12,-3.4247701370958754e-05
19800107T13,-3.644067687397582e-05
19800107T14,-2.818285804657628e-05
19800107T15,-1.6850299934527836e-05
19800107T16,-6.225926112447391e-06
19800107T17,-2.249159076525647e-06
19800107T18,-3.811297602041904e-07
19800107T19,-3.074648889549745e-07
19800107T20,4.240715877086751e-07
19800107T21,3.702147831073235e-07
19800107T22,3.245833902849408e-07
19800107T23,2.1340213420928014e-07
19800108T00,1.3093428870587248e-07
19800108T01,1.9849246814192938e-07
19800108T02,-1.608761654339392e-08
19800108T03,3.957518730034122e-07
19800108T04,4.459293605862806e-07
19800108T05,1.1461417625901954e-06
19800108T06,7.541159360561872e-07
19800108T07,4.657435028773319e-08
19800108T08,4.305287156293252e-07
19800108T09,-1.707702848587194e-06
19800108T10,-1.3722149223672536e-05
19800108T11,-3.135962289080871e-05
19800108T12,-4.263836921655835e-05
19800108T13,-4.4191443626986e-05
19800108T14,-3.647125223969422e-05
19800108T15,-2.3518079092329153e-05
19800108T16,-2.8409339877894e-06
19800108T17,5.113533497868646e-06
19800108T18,4.728139909608604e-06
19800108T19,1.9275844776273167e-06
19800108T20,1.1307914110792326e-06
