system:index,temperature_2m
19800101T00,271.1536362627818
19800101T01,271.011082491577
19800101T02,270.71169648519714
19800101T03,270.4556717725135
19800101T04,270.12766774317794
19800101T05,269.9324414677121
19800101T06,269.7724315076969
19800101T07,270.17476645770256
19800101T08,270.1986256454156
19800101T09,270.79412319106075
19800101T10,271.35573549354444
19800101T11,271.91325340979927
19800101T12,272.2052349312941
19800101T13,272.3861055324198
19800101T14,272.3821424154746
19800101T15,272.1146869804555
19800101T16,271.51178579887295
19800101T17,271.08254227959196
19800101T18,270.69636490137214
19800101T19,270.46562803585516
19800101T20,270.3515207911585
19800101T21,270.21934682527063
19800101T22,270.1239445987353
19800101T23,270.14784349782303
19800102T00,270.063025718062
19800102T01,270.12379970967595
19800102T02,270.04325143189385
19800102T03,270.2490812187101
19800102T04,270.3350366393204
19800102T05,270.57859470327406
19800102T06,270.73142480442345
19800102T07,271.139426489055
19800102T08,271.16381002662587
19800102T09,271.4854820786264
19800102T10,272.0049926427255
19800102T11,272.4399083843162
19800102T12,272.64754794517
19800102T13,272.7680671098442
19800102T14,272.6627040832907
19800102T15,272.06667290241205
19800102T16,271.4642562196472
19800102T17,271.15862546466826
19800102T18,270.91587997444043
19800102T19,271.24228196988616
19800102T20,270.94487297556736
19800102T21,270.80914844014393
19800102T22,270.8174138152833
19800102T23,270.7544659929019
19800103T00,270.8558153445199
19800103T01,270.816326555564
19800103T02,270.7115058439155
19800103T03,270.72880217336956
19800103T04,270.66123999251874
19800103T05,270.6196883431367
19800103T06,270.6314175876816
19800103T07,270.80526391534056
19800103T08,270.6555790303342
19800103T09,270.66702083922706
19800103T10,270.95892912415655
19800103T11,271.3410546150743
19800103T12,271.62804082827796
19800103T13,271.82454522852953
19800103T14,271.8416765108452
19800103T15,271.6459262591098
19800103T16,271.3182236434522
19800103T17,271.0421248468631
19800103T18,270.98721712636495
19800103T19,271.1687744621791
19800103T20,271.1683636679996
19800103T21,271.268522897178
19800103T22,271.2966717047716
19800103T23,271.27785624981317
19800104T00,271.2618361770851
19800104T01,271.2247574211373
19800104T02,271.1887978068721
19800104T03,271.1982131958336
19800104T04,271.182852257187
19800104T05,271.2107639955751
19800104T06,271.2605934268882
19800104T07,271.15769956603106
19800104T08,271.28615285294995
19800104T09,271.5845105379722
19800104T10,272.0144477916672
19800104T11,272.57905039627445
19800104T12,273.05157853774915
19800104T13,273.57482300532985
19800104T14,274.0736546269438
19800104T15,274.52830858854844
19800104T16,274.9201895322978
19800104T17,275.27865040399917
19800104T18,275.59819125380596
19800104T19,275.3637314759212
19800104T20,275.65079954483775
19800104T21,275.89077347738646
19800104T22,276.0979016384428
19800104T23,276.26727384848726
19800105T00,276.3457109765549
19800105T01,276.34309575055187
19800105T02,276.18436393591014
19800105T03,275.911193005389
19800105T04,275.62569173045523
19800105T05,275.3267000063687
19800105T06,275.01142820129417
19800105T07,274.9703230216471
19800105T08,274.82876002044316
19800105T09,274.88768898039586
19800105T10,275.05165772899363
19800105T11,275.343600850086
19800105T12,275.633653653399
19800105T13,275.83210271253387
19800105T14,275.812604993563
19800105T15,275.66389596097775
19800105T16,275.3660923197369
19800105T17,275.1958529354831
19800105T18,275.124008702205
19800105T19,275.3626577734641
19800105T20,275.34500645036934
19800105T21,275.2706022536188
19800105T22,275.2444982264092
19800105T23,275.1698454227168
19800106T00,275.0765726637101
19800106T01,274.9476221770778
19800106T02,274.83863034968607
19800106T03,274.6988044656635
19800106T04,274.60799327847997
19800106T05,274.4939065706456
19800106T06,274.35933041096706
19800106T07,274.64992240293157
19800106T08,274.6012007635329
19800106T09,274.8511044835334
19800106T10,275.13528398701544
19800106T11,275.43421229146145
19800106T12,275.633098524362
19800106T13,275.8128545586314
19800106T14,275.7470143817055
19800106T15,275.434683932107
19800106T16,275.1159258697975
19800106T17,274.9749325189461
19800106T18,274.8949481034061
19800106T19,275.0468969906333
19800106T20,274.88385593659456
19800106T21,274.68017984285405
19800106T22,274.49956033076575
19800106T23,274.3271234588976
19800107T00,274.2679861857643
19800107T01,274.2035068288588
19800107T02,274.1590899895473
19800107T03,274.14746050492477
19800107T04,274.1593301581248
19800107T05,274.16912360416944
19800107T06,274.14367910990205
19800107T07,274.2471423776042
19800107T08,274.11828942120405
19800107T09,274.3220866118615
19800107T10,274.7455781551528
19800107T11,275.1533615929979
19800107T12,275.49080904785706
19800107T13,275.7021073298721
19800107T14,275.7254781191292
19800107T15,275.5907139779867
19800107T16,275.2787486752512
19800107T17,275.0819852843785
19800107T18,274.9307714681632
19800107T19,274.91675155523666
19800107T20,274.8486543133725
19800107T21,274.74698455960515
19800107T22,274.6632712352266
19800107T23,274.541974602136
19800108T00,274.47994638289924
19800108T01,274.3670107076957
19800108T02,274.2789129639429
19800108T03,274.09263243185785
19800108T04,273.8898905648286
19800108T05,273.55566581283557
19800108T06,273.4534520033859
19800108T07,273.78202620414186
19800108T08,273.7388297195107
19800108T09,274.30626594214704
19800108T10,274.8882801740294
19800108T11,275.40725629736755
19800108T12,275.7199143731521
19800108T13,275.85935543739475
19800108T14,275.7387885367754
19800108T15,275.47417381745566
19800108T16,274.4453770344835
19800108T17,273.444505751005
19800108T18,272.97416053542383
19800108T19,273.3467423714355
19800108T20,273.30590273323014
19800108T21,273.1792484683204
19800108T22,273.032601165481
19800108T23,272.71481582365044
19800109T00,272.2989947687273
19800109T01,271.9375380223878
19800109T02,271.53853626773684
19800109T03,271.34592583647634
19800109T04,270.709946388572
19800109T05,270.40028849816673
19800109T06,270.14798231844253
19800109T07,270.8199181411177
19800109T08,270.6896252247661
19800109T09,271.4961481606907
19800109T10,272.66666268751135
19800109T11,273.4408004987275
19800109T12,274.0420204298591
19800109T13,274.42703635137826
19800109T14,274.4603172448004
19800109T15,274.13884581505766
19800109T16,273.52037825788267
19800109T17,272.83267439937305
19800109T18,272.37980682709053
19800109T19,271.7940969304451
19800109T20,271.5039519580662
19800109T21,271.09820422855927
19800109T22,270.8227998924185
19800109T23,270.6291769080677
19800110T00,270.39010433880065
19800110T01,270.05944670813585
19800110T02,270.0844036619572
19800110T03,269.77984776977763
19800110T04,269.7428757907189
19800110T05,269.4952851423409
19800110T06,269.4745490599715
19800110T07,269.9439075611109
19800110T08,269.98229556908694
19800110T09,270.5461414583775
19800110T10,271.4004932426253
19800110T11,272.13433441515434
19800110T12,272.5511842161337
19800110T13,272.6461952653023
19800110T14,272.5239791189371
19800110T15,272.1522105193431
19800110T16,271.6029578073914
19800110T17,271.1850753964859
19800110T18,270.81646887326417
19800110T19,270.5885895036858
19800110T20,270.3741959016136
19800110T21,270.1664228097269
19800110T22,269.83205494284334
19800110T23,269.50215476642273
19800111T00,269.17025443796626
19800111T01,268.7755285384098
19800111T02,268.39225887949857
19800111T03,268.1993736681713
19800111T04,268.0510044300956
19800111T05,267.92580927120895
19800111T06,267.83932698469937
19800111T07,268.0566976984161
19800111T08,268.00719445415046
19800111T09,268.4180196943855
19800111T10,268.99141710351546
19800111T11,269.56573344894343
19800111T12,269.9587423248898
19800111T13,270.05463687892757
19800111T14,270.0857026749633
19800111T15,269.92662427114357
19800111T16,269.65618963672557
19800111T17,269.4147791743206
19800111T18,269.21004486191526
19800111T19,269.0944788183942
19800111T20,268.90673075827755
19800111T21,268.8124717014869
19800111T22,268.5792251773877
19800111T23,268.3073940911291
19800112T00,267.9618926745217
19800112T01,267.5217447976854
19800112T02,267.0739142245872
19800112T03,266.7485621648586
19800112T04,266.4298936979238
19800112T05,266.2453647112896
19800112T06,266.1031308104319
19800112T07,266.2668592521672
19800112T08,266.1918867906802
19800112T09,266.55641383224656
19800112T10,267.23477979485926
19800112T11,267.948464959832
19800112T12,268.4166738484853
19800112T13,268.6712924647907
19800112T14,268.6624495386868
19800112T15,268.3082067204327
19800112T16,267.6086975281888
19800112T17,267.0843538883534
19800112T18,266.7003026414518
19800112T19,266.2983365370851
19800112T20,266.1020217319508
19800112T21,265.9560027185439
19800112T22,265.92053290236055
19800112T23,265.81194176736426
19800113T00,265.74380567644124
19800113T01,265.6902646371108
19800113T02,265.5816072534253
19800113T03,265.5199718561387
19800113T04,265.4506979306301
19800113T05,265.36967593708493
19800113T06,265.3655191325568
19800113T07,265.39427698724535
19800113T08,265.3887092951379
19800113T09,266.30767838437106
19800113T10,267.67509344016935
19800113T11,269.09902874927747
19800113T12,270.1921351623083
19800113T13,270.84828966925136
19800113T14,270.97437680154536
19800113T15,270.44533021387593
19800113T16,269.1181513763414
19800113T17,268.0077738855858
19800113T18,267.3564420360232
19800113T19,266.63529766911535
19800113T20,266.2935606570146
19800113T21,266.2026522640656
19800113T22,266.0502205833495
19800113T23,266.02695271567075
19800114T00,265.82451778441
19800114T01,265.17010025780144
19800114T02,264.7173771074544
19800114T03,264.63071017208944
19800114T04,264.72267955253056
19800114T05,264.78263699913697
19800114T06,264.8341004875647
19800114T07,264.2032393240837
19800114T08,264.1738972526594
19800114T09,265.49976032350236
19800114T10,267.1186318276519
19800114T11,268.6502371971453
19800114T12,270.1171602347705
19800114T13,270.7948750450045
19800114T14,271.0198324554791
19800114T15,270.54916067278833
19800114T16,269.4998673527026
19800114T17,268.20498110478604
19800114T18,267.1999162552497
19800114T19,266.2291783322268
19800114T20,266.07057196720405
19800114T21,265.95466241204707
19800114T22,265.9719226607094
19800114T23,265.9130182953165
19800115T00,265.9416407504894
19800115T01,266.1084963577522
19800115T02,265.6060856011512
19800115T03,265.3990882270495
19800115T04,264.963501853961
19800115T05,264.6533750084282
19800115T06,264.3757052267825
19800115T07,264.13037292861185
19800115T08,264.23893168876526
19800115T09,265.74490955982725
19800115T10,267.9517091309988
19800115T11,270.16085472150525
19800115T12,271.79852800503664
19800115T13,272.62797358716153
19800115T14,272.77353371504955
19800115T15,271.9978655366237
19800115T16,270.53862875077687
19800115T17,269.5053947990229
19800115T18,268.8599159103383
19800115T19,268.17850442367484
19800115T20,267.8634900849829
19800115T21,267.6459932517592
19800115T22,267.4155293325453
19800115T23,267.2162173557805
19800116T00,266.9984511859052
19800116T01,266.8156090407935
19800116T02,266.6527266955524
19800116T03,266.5567525511612
19800116T04,266.43310625921293
19800116T05,266.36736097178704
19800116T06,266.2793404833032
19800116T07,266.1653914587178
19800116T08,266.40328879847476
19800116T09,267.3632557728624
19800116T10,268.6119647527138
19800116T11,269.6415705646133
19800116T12,270.3735783070906
19800116T13,270.9427123325781
19800116T14,271.22528941327226
19800116T15,271.0027198184707
19800116T16,270.5659331514358
19800116T17,270.2443219044746
19800116T18,270.12163451561497
19800116T19,269.79694956523446
19800116T20,269.6473568223952
19800116T21,269.48758478837135
19800116T22,269.1886358385056
19800116T23,268.87663149778854
19800117T00,268.7860654755936
19800117T01,268.59901296831885
19800117T02,268.4084441532607
19800117T03,268.23337372273284
19800117T04,267.9968223797175
19800117T05,267.8868050876166
19800117T06,267.66183714572526
19800117T07,267.85457802538457
19800117T08,267.98555123314253
19800117T09,268.58635716922333
19800117T10,269.57159961269707
19800117T11,270.60380544952767
19800117T12,271.5049942541804
19800117T13,272.07050797233927
19800117T14,272.1211914520618
19800117T15,271.6038888036587
19800117T16,270.278407707275
19800117T17,269.26975100007456
19800117T18,268.69246481483896
19800117T19,268.25649875757574
19800117T20,267.9854306143963
19800117T21,267.72431012297665
19800117T22,267.43483575512647
19800117T23,267.1771753710981
19800118T00,266.94483080857054
19800118T01,266.7125433290905
19800118T02,266.4867643847121
19800118T03,266.2504955331486
19800118T04,266.002487823034
19800118T05,265.819712255552
19800118T06,265.68917134008075
19800118T07,265.62638928068054
19800118T08,265.8184161732162
19800118T09,267.15735632682623
19800118T10,269.2049386551231
19800118T11,271.279591415638
19800118T12,272.8681896661565
19800118T13,273.80733127012303
19800118T14,274.1633288168444
19800118T15,273.6544188507255
19800118T16,272.13777156871976
19800118T17,270.42844519984175
19800118T18,269.28107750713156
19800118T19,268.1573834993647
19800118T20,267.9310796256169
19800118T21,267.8267956391007
19800118T22,267.70776615847154
19800118T23,267.6149164370695
19800119T00,267.53663341929587
19800119T01,267.50762394208084
19800119T02,267.4411105978737
19800119T03,267.29884502243567
19800119T04,267.1430727918071
19800119T05,267.00443737275504
19800119T06,266.8209215580223
19800119T07,266.02959383745997
19800119T08,266.2851585902787
19800119T09,268.14195767808496
19800119T10,270.48095097493285
19800119T11,272.8210348514615
19800119T12,274.4195490771048
19800119T13,275.2015636622255
19800119T14,275.3188703029861
19800119T15,274.47523660125654
19800119T16,272.61620879519006
19800119T17,270.8827621588209
19800119T18,269.65103914717935
19800119T19,268.7725673962299
19800119T20,268.529787315563
19800119T21,268.2710129753706
19800119T22,268.1388172239472
19800119T23,268.1341732385225
19800120T00,268.1145899365132
19800120T01,268.1454410943994
19800120T02,268.2233644684761
19800120T03,268.3132857902738
19800120T04,268.51778220533856
19800120T05,268.74625226966526
19800120T06,269.1220333367045
19800120T07,269.2149324321872
19800120T08,269.8247683113665
19800120T09,271.38652566879273
19800120T10,273.2170589797327
19800120T11,275.0580901864986
19800120T12,275.9611860081765
19800120T13,276.4245207900799
19800120T14,276.31798335440567
19800120T15,275.730812366086
19800120T16,274.50421791233316
19800120T17,273.5962068152875
19800120T18,273.0493117822572
19800120T19,272.2436831338093
19800120T20,272.0552433158784
19800120T21,271.9226214137229
19800120T22,271.5866275194105
19800120T23,271.25793461343153
19800121T00,271.40520765471035
19800121T01,271.2219161590626
19800121T02,271.2811073105007
19800121T03,271.263199584044
19800121T04,271.6361075695812
19800121T05,272.26045757258953
19800121T06,272.8176953720173
19800121T07,272.7349840440987
19800121T08,272.95249723660385
19800121T09,273.70955962249667
19800121T10,274.4860752910661
19800121T11,275.39898214596957
19800121T12,276.0716523414139
19800121T13,276.5511193330796
19800121T14,276.60109356836165
19800121T15,276.60408631346405
19800121T16,276.1270017166172
19800121T17,275.75851227331145
19800121T18,275.6634327221231
19800121T19,275.4948376554453
19800121T20,275.82902606920555
19800121T21,276.0345856015662
19800121T22,276.0453467430852
19800121T23,275.92401974192796
19800122T00,275.7342359903108
19800122T01,275.59837409865725
19800122T02,275.3674178885454
19800122T03,275.3320240547861
19800122T04,275.36054864851525
19800122T05,275.2847387878237
19800122T06,275.21801985037854
19800122T07,275.7288814911981
19800122T08,275.79138419210443
19800122T09,276.03820933283214
19800122T10,276.4485218403285
19800122T11,277.0246755653319
19800122T12,277.308846234706
19800122T13,277.5545698362505
19800122T14,277.5518729616992
19800122T15,277.16817479247095
19800122T16,276.5363954171381
19800122T17,275.9794592802941
19800122T18,275.8070899767549
19800122T19,275.4462697307377
19800122T20,275.41926910582606
19800122T21,275.4588904666297
19800122T22,275.4795000606972
19800122T23,275.4657446700836
19800123T00,275.34646165185654
19800123T01,275.16161885178985
19800123T02,275.03481940690506
19800123T03,275.0008210175022
19800123T04,274.959995381216
19800123T05,274.98851037617305
19800123T06,274.9296222939464
19800123T07,274.87238166802575
19800123T08,274.84661602179796
19800123T09,275.1541650641842
19800123T10,275.59113664662885
19800123T11,276.20727316641523
19800123T12,276.75989534882524
19800123T13,277.1977125960299
19800123T14,277.11838018059836
19800123T15,276.78134507528426
19800123T16,276.3762037303768
19800123T17,275.84771374859974
19800123T18,275.4387051194955
19800123T19,275.1689376402044
19800123T20,275.08675984420734
19800123T21,274.99393402677595
19800123T22,274.9524211820739
19800123T23,274.8944609667838
19800124T00,274.8586958458713
19800124T01,274.75562056559727
19800124T02,274.6342693492576
19800124T03,274.50960582512005
19800124T04,274.46097595032404
19800124T05,274.4137822024177
19800124T06,274.4074303025573
19800124T07,274.1338521764708
19800124T08,274.0957771449562
19800124T09,274.37470443254716
19800124T10,274.7956401204364
19800124T11,275.2754995332116
19800124T12,275.7331663831945
19800124T13,276.01701479787937
19800124T14,276.04774066846966
19800124T15,275.87193041881306
19800124T16,275.4128220794103
19800124T17,274.8957675861473
19800124T18,274.5975126795969
19800124T19,274.34562904788936
19800124T20,274.24522472281916
19800124T21,274.12648890658767
19800124T22,273.9974604887692
19800124T23,273.94540532919484
19800125T00,273.9665110634638
19800125T01,273.91112046789783
19800125T02,273.7189927585974
19800125T03,273.5479389375963
19800125T04,273.4853355472701
19800125T05,273.37818738208284
19800125T06,273.43947154777766
19800125T07,273.8258333312065
19800125T08,274.028161888486
19800125T09,274.4749113637975
19800125T10,275.05923430454936
19800125T11,275.50292675062735
19800125T12,276.1004688042988
19800125T13,276.4052261044422
19800125T14,276.36295189038765
19800125T15,276.1984146047703
19800125T16,275.3623945379334
19800125T17,274.34707834395505
19800125T18,274.0576033892215
19800125T19,273.92010102016843
19800125T20,274.0418382488595
19800125T21,273.95564697326296
19800125T22,273.81540253990886
19800125T23,273.6882146355193
19800126T00,273.6172937601826
19800126T01,273.37904259340684
19800126T02,273.2904842939733
19800126T03,273.1167712563479
19800126T04,272.9176622109131
19800126T05,272.8029830170929
19800126T06,272.6477692586982
19800126T07,272.3427503459745
19800126T08,272.261337689773
19800126T09,272.9746619175319
19800126T10,273.6402509284327
19800126T11,274.07283816031156
19800126T12,274.32975161062643
19800126T13,274.40525725177235
19800126T14,274.19154620778477
19800126T15,273.9078965863925
19800126T16,273.14468219213427
19800126T17,272.0628995202102
19800126T18,271.4318884690179
19800126T19,271.6734799809133
19800126T20,271.78571850560917
19800126T21,271.86533977763423
19800126T22,271.8844326290975
19800126T23,271.98191384902833
19800127T00,271.95354493567123
19800127T01,271.9239327719183
19800127T02,271.9758671492453
19800127T03,271.92006051245585
19800127T04,271.6730070737372
19800127T05,271.70374455428464
19800127T06,271.7744457911866
19800127T07,272.1418784967273
19800127T08,272.3974181644162
19800127T09,272.873516743758
19800127T10,273.56109517869584
19800127T11,274.0461721197361
19800127T12,274.62014424177346
19800127T13,274.950412130731
19800127T14,275.09423416377587
19800127T15,274.79090582803326
19800127T16,273.8540547384604
19800127T17,272.61701963202836
19800127T18,271.71200132758395
19800127T19,271.2540823162381
19800127T20,271.11590145943836
19800127T21,270.7357318885878
19800127T22,270.6570818247212
19800127T23,270.35192815076186
19800128T00,270.25841108246686
19800128T01,269.84756457224944
19800128T02,269.4261427347637
19800128T03,269.0990744177858
19800128T04,268.8906416173596
19800128T05,268.75649578270475
19800128T06,268.33066403729765
19800128T07,269.67941623511814
19800128T08,269.81309350000276
19800128T09,270.8753139616677
19800128T10,272.1613472394883
19800128T11,273.36072499594223
19800128T12,274.23362102869424
19800128T13,274.75372193906384
19800128T14,274.9061820670571
19800128T15,274.7091775127232
19800128T16,273.8067030430465
19800128T17,272.90501328375126
19800128T18,272.4397221995171
19800128T19,272.1278569736076
19800128T20,272.1295633049711
19800128T21,271.9429005033875
19800128T22,271.7468861953132
19800128T23,271.51015814495173
19800129T00,271.4202953087156
19800129T01,271.5532153621347
19800129T02,271.5138841200264
19800129T03,271.5319447577987
19800129T04,271.5350246935188
19800129T05,271.57631739337637
19800129T06,271.62051311510237
19800129T07,271.7047038010667
19800129T08,271.9579528686744
19800129T09,272.998675165205
19800129T10,274.24368952003505
19800129T11,275.2891655371176
19800129T12,276.0740300024548
19800129T13,276.646366941408
19800129T14,276.88380948322464
19800129T15,276.6932916609456
19800129T16,275.72861173406903
19800129T17,274.3598961723016
19800129T18,273.58966885429885
19800129T19,273.7311715603067
19800129T20,273.56429522076365
19800129T21,273.4812455235424
19800129T22,273.5256664941576
19800129T23,273.66239686443754
19800130T00,273.8600947323935
19800130T01,274.1014724683063
19800130T02,274.36866096538233
19800130T03,274.96354289448595
19800130T04,275.44446336094046
19800130T05,276.06241581201067
19800130T06,276.62696895395425
19800130T07,277.0232827348239
19800130T08,277.31894067069493
19800130T09,277.69811442578896
19800130T10,278.1160722496943
19800130T11,278.5169511330674
19800130T12,278.76517771957526
19800130T13,278.92629523082763
19800130T14,279.03801504234184
19800130T15,279.17139304504514
19800130T16,279.249249784709
19800130T17,279.3088045581146
19800130T18,279.35552519114265
19800130T19,279.27791813443093
19800130T20,279.35840955125656
19800130T21,279.4098807892768
19800130T22,279.40198648096447
19800130T23,279.36179778134147
19800131T00,279.3637601768398
19800131T01,279.3453463915783
19800131T02,279.41109894852246
19800131T03,279.5512799668993
19800131T04,279.66331365999787
19800131T05,279.71582249290725
19800131T06,279.60295251032335
19800131T07,279.83545953623997
19800131T08,280.0270697306336
19800131T09,280.24109596294994
19800131T10,280.470299113377
19800131T11,280.66025777836995
19800131T12,280.77633149429414
19800131T13,280.95571737145906
19800131T14,280.9721859712363
19800131T15,280.9124276236747
19800131T16,280.50908952746903
19800131T17,280.08439740316385
19800131T18,279.913657054171
19800131T19,279.8494180453256
19800131T20,279.5218068058797
19800131T21,279.11793075418507
19800131T22,278.63737189720007
19800131T23,278.31220186464554
19800201T00,278.025051699216
19800201T01,277.77658740065164
19800201T02,277.48644808903936
19800201T03,277.20921557637826
19800201T04,276.83475094444617
19800201T05,276.22877863013974
19800201T06,275.4484128718953
19800201T07,274.47259963492127
19800201T08,273.75778379369393
