system:index,total_evaporation_hourly
20110101T00,1.2486648255244273E-6
20110101T01,1.2453293654342154E-6
20110101T02,1.4269345022736658E-6
20110101T03,2.0444527674994538E-6
20110101T04,1.926082653992711E-6
20110101T05,2.589744046765782E-6
20110101T06,2.6695734096445394E-6
20110101T07,1.7064898808288626E-6
20110101T08,1.6479651577522138E-6
20110101T09,6.187676340883782E-7
20110101T10,-2.3074046949523776E-6
20110101T11,-6.338164144813483E-6
20110101T12,-9.746364778187838E-6
20110101T13,-1.0073882603379483E-5
20110101T14,-6.868957713918564E-6
20110101T15,-3.3336086781036566E-6
20110101T16,-1.424816279139348E-7
20110101T17,6.420878266258438E-7
20110101T18,6.293401463326681E-7
20110101T19,7.36078952133315E-7
20110101T20,-6.375447288484358E-7
20110101T21,3.426824135502973E-8
20110101T22,8.886034073372726E-7
20110101T23,1.382556834849517E-6
20110102T00,1.3111657798858521E-6
20110102T01,8.249210367610897E-7
20110102T02,-1.9683041971074276E-6
20110102T03,-2.131559595198063E-6
20110102T04,-1.2026833487116225E-6
20110102T05,5.310916536318514E-7
20110102T06,-1.155053060706872E-6
20110102T07,1.7520632272272768E-6
20110102T08,-2.1841830692069987E-8
20110102T09,-6.5271493622721685E-6
20110102T10,-1.917407542684725E-5
20110102T11,-3.230158067616927E-5
20110102T12,-3.506154641057092E-5
20110102T13,-3.1654322713078095E-5
20110102T14,-2.8178822943933522E-5
20110102T15,-1.7680716195585185E-5
20110102T16,-6.094931465850578E-6
20110102T17,-2.751986729723408E-6
20110102T18,-9.287112999818431E-7
20110102T19,2.0144826083910437E-6
20110102T20,3.988479551988868E-6
20110102T21,3.372257291870493E-6
20110102T22,2.637559960697092E-6
20110102T23,2.2836302551499026E-6
20110103T00,1.0298018417005971E-6
20110103T01,9.392278034131292E-7
20110103T02,1.1368228367502847E-6
20110103T03,1.120363446695863E-6
20110103T04,1.0957129827478075E-6
20110103T05,1.2212089868902903E-6
20110103T06,6.514600563717675E-7
