system:index,total_precipitation_hourly
20110101T00,4.607357852198143E-6
20110101T01,7.118193951918099E-6
20110101T02,9.3104501928315E-6
20110101T03,9.124812066443774E-6
20110101T04,9.86728014752574E-6
20110101T05,8.930019199802292E-6
20110101T06,8.935668565178588E-6
20110101T07,3.004507476088115E-5
20110101T08,1.2613406628111165E-5
20110101T09,1.1150728690081758E-5
20110101T10,1.2512072898795387E-5
20110101T11,1.2778552231252929E-5
20110101T12,1.5189369138329782E-5
20110101T13,1.9033487509758242E-5
20110101T14,2.3117369996202573E-5
20110101T15,3.365395428345437E-5
20110101T16,4.55852622415602E-5
20110101T17,4.425584618358602E-5
20110101T18,4.521972156314361E-5
20110101T19,6.674043304188278E-5
20110101T20,4.976831747215173E-5
20110101T21,4.6390635532208506E-5
20110101T22,4.8904659048300415E-5
20110101T23,4.7833560384243946E-5
20110102T00,4.559595816242759E-5
20110102T01,3.949042439640673E-5
20110102T02,2.920103685510931E-5
20110102T03,2.0522320438777784E-5
20110102T04,1.566379182756742E-5
20110102T05,1.2034957086710339E-5
20110102T06,7.870103502935151E-6
20110102T07,5.841929026818071E-6
20110102T08,4.2068276176056334E-6
20110102T09,2.092758536522071E-6
20110102T10,2.357839347579697E-6
20110102T11,2.432027841577666E-6
20110102T12,2.5836155058932754E-6
20110102T13,2.602279940367362E-6
20110102T14,2.833856101171873E-6
20110102T15,2.611741096271342E-6
20110102T16,3.0130118136344948E-6
20110102T17,2.690322010128606E-6
20110102T18,2.32556382296874E-6
20110102T19,2.8460595160729226E-6
20110102T20,2.418784602622426E-6
20110102T21,2.450322836523187E-6
20110102T22,2.4769558759279965E-6
20110102T23,3.0118887525460057E-6
20110103T00,2.082594322806228E-6
20110103T01,1.9448001014340877E-6
20110103T02,2.3883860533374596E-6
20110103T03,3.6223289543433107E-6
20110103T04,6.602665231216239E-6
20110103T05,7.397330563259954E-6
20110103T06,8.993579797202435E-6
20110103T07,4.974766518238041E-6
20110103T08,5.585548271860223E-6
20110103T09,5.190263347261603E-6
20110103T10,3.857641664797323E-6
20110103T11,3.1560366040528775E-6
20110103T12,1.7079976780302141E-6
20110103T13,1.233935254935928E-6
20110103T14,1.1870709841966171E-6
20110103T15,4.482881852339355E-6
20110103T16,6.971776075405495E-6
20110103T17,1.0086809111488375E-5
20110103T18,7.37307280272294E-6
20110103T19,6.6042817275226785E-6
20110103T20,3.966520935008516E-6
20110103T21,4.536298016926322E-6
20110103T22,8.258025837726902E-6
20110103T23,1.1647395304175734E-5
20110104T00,9.838748383764139E-6
20110104T01,8.309685709183738E-6
20110104T02,6.38216566317778E-6
20110104T03,4.729553830081372E-6
20110104T04,3.981705388404863E-6
20110104T05,3.61487497187213E-6
20110104T06,4.6103225723108245E-6
20110104T07,3.2250619473774874E-6
20110104T08,4.146363132619671E-6
20110104T09,4.754844470493695E-6
20110104T10,3.7432821207213724E-6
20110104T11,2.8287700446909456E-6
20110104T12,1.9316428715658646E-6
20110104T13,1.7361944238587034E-6
20110104T14,1.5806209245364711E-6
20110104T15,1.934295924890859E-6
20110104T16,3.773223227207042E-6
20110104T17,6.876242701164216E-6
20110104T18,6.512795706717096E-6
20110104T19,7.806850582898606E-6
20110104T20,7.755209986604513E-6
20110104T21,5.670185387774826E-6
20110104T22,4.381901188722838E-6
20110104T23,3.2954561217768165E-6
20110105T00,2.994424785017023E-6
20110105T01,2.8441738966554646E-6
20110105T02,2.68441867415007E-6
20110105T03,2.645222461877387E-6
20110105T04,1.54648996251908E-6
20110105T05,1.0042424341641607E-6
20110105T06,6.972538907562323E-7
20110105T07,2.5690875545410335E-6
20110105T08,3.053781424940631E-6
20110105T09,2.3375277649850057E-6
20110105T10,9.258499206995297E-7
20110105T11,1.5858627849792145E-7
20110105T12,4.762376195193236E-8
20110105T13,2.679996952412335E-8
20110105T14,1.5200057830597814E-8
20110105T15,5.953526795382936E-8
20110105T16,3.7844404624068537E-7
20110105T17,1.2002408326154671E-6
20110105T18,5.3957805381542426E-6
20110105T19,1.2754914190820311E-5
20110105T20,7.487636683762975E-6
20110105T21,7.79872253152758E-6
20110105T22,2.4321198654677164E-5
20110105T23,1.845242792144718E-4
20110106T00,5.750822080118923E-4
20110106T01,0.001002924707589308
20110106T02,0.0013187532492799664
20110106T03,0.00155718751952714
20110106T04,0.0011812083736834921
20110106T05,8.707300444707569E-4
20110106T06,4.425008517618685E-4
20110106T07,3.177174157107676E-4
20110106T08,1.430130811711684E-4
20110106T09,1.5148190194447578E-4
20110106T10,4.3142041449618175E-4
20110106T11,8.928986879797058E-4
20110106T12,9.42964755865407E-4
20110106T13,9.98163304795402E-4
20110106T14,0.0010921673234170716
20110106T15,0.0011926193484576813
20110106T16,6.687326892100431E-4
20110106T17,2.848221158677631E-4
