system:index,temperature_2m
20110101T00,270.3723663341202
20110101T01,270.1954482119228
20110101T02,270.0936654261197
20110101T03,270.1856230928268
20110101T04,270.48779372946586
20110101T05,270.2249235917108
20110101T06,269.7514744049961
20110101T07,269.79757645596123
20110101T08,269.9432034384232
20110101T09,270.7044994765577
20110101T10,271.8096957239733
20110101T11,272.9597181665999
20110101T12,273.4762131788238
20110101T13,273.80423996306325
20110101T14,273.87575299873487
20110101T15,273.70512437961327
20110101T16,273.43754226341866
20110101T17,273.31826375680464
20110101T18,273.2693069022643
20110101T19,272.9205053409067
20110101T20,273.0293578367508
20110101T21,272.951238533416
20110101T22,272.86423423361384
20110101T23,272.7496617358791
20110102T00,272.6323403667093
20110102T01,272.55404069449855
20110102T02,272.5453450919657
20110102T03,272.3429826717693
20110102T04,272.0705642137471
20110102T05,271.695770305589
20110102T06,271.5162089505597
20110102T07,271.58260139396657
20110102T08,271.5797786342435
20110102T09,271.7700526082923
20110102T10,272.05700120940065
20110102T11,272.41950548268113
20110102T12,272.64863228064206
20110102T13,272.7737331483166
20110102T14,272.79199766011794
20110102T15,272.4986120824263
20110102T16,271.8147539649897
20110102T17,271.3619765520591
20110102T18,270.9215044403978
20110102T19,270.38928501137684
20110102T20,269.98539330548766
20110102T21,269.8211764146485
20110102T22,269.9881449665586
20110102T23,269.94890649410513
20110103T00,269.8964240968451
20110103T01,269.87901961914463
20110103T02,269.75418476279026
20110103T03,269.66632945005097
20110103T04,269.6120778185574
20110103T05,269.51833799495716
20110103T06,269.5382547355517
20110103T07,269.64182426229144
20110103T08,269.6032236201205
20110103T09,269.98783779377374
20110103T10,270.59607385038254
20110103T11,271.07147965972445
20110103T12,271.27808549392785
20110103T13,271.38643897097745
20110103T14,271.3475961296006
20110103T15,271.1206091213727
20110103T16,270.75358448262585
20110103T17,270.3751316449506
20110103T18,270.0495815641184
20110103T19,270.4412089240365
20110103T20,270.08223692747094
20110103T21,269.7136479868386
20110103T22,269.3872424025856
20110103T23,269.16688662447376
20110104T00,268.9921566326521
20110104T01,268.91577260032
20110104T02,268.8791403133948
20110104T03,268.85235816362507
20110104T04,268.64988447901675
20110104T05,268.2839968293341
20110104T06,268.0953722697664
20110104T07,267.82977761845024
20110104T08,267.87627228856263
20110104T09,268.51985357753205
20110104T10,269.3120548225367
20110104T11,270.22542432479804
20110104T12,270.7490902378171
20110104T13,270.8979097648694
20110104T14,270.9241096376842
20110104T15,270.72510060809526
20110104T16,270.33487761569097
20110104T17,269.89604562279175
20110104T18,269.48419513031024
