system:index,total_evaporation_sum
199906,-0.10338158599173623
199907,-0.10995350780087448
199908,-0.08577401723871304
199909,-0.06263933653151542
199910,-0.035696794135903986
199911,-0.015111486871670857
199912,-0.017840174458212742
200001,-0.007400245375176604
200002,-0.02200080981793868
200003,-0.040472608847836496
200004,-0.07201940551351811
200005,-0.09661181167227564
200006,-0.1153593402186112
200007,-0.08968851782114469
200008,-0.0978857556295151
200009,-0.056187243790121535
200010,-0.03797345433060877
200011,-0.0262431162903644
200012,-0.018638382553469904
200101,-0.017646133609417948
200102,-0.01965459621615871
200103,-0.03851921282610741
200104,-0.06323069451289745
200105,-0.10347247880067081
200106,-0.09942992439934284
200107,-0.1100882919054759
200108,-0.09096442731514698
200109,-0.049209818790559676
200110,-0.03723578228804165
200111,-0.014588053045893418
200112,-0.006091248671248749
200201,-0.008672931562184703
200202,-0.027254362564790347
200203,-0.04369417988567502
200204,-0.07226000849647707
200205,-0.08935797082853338
200206,-0.11082569324611886
200207,-0.09695072969103846
200208,-0.08012424424215815
200209,-0.05757840298908409
200210,-0.038998790044942014
200211,-0.018720099497540277
200212,-0.011978204720127068
200301,-0.011670661296422365
200302,-0.00969753628986771
200303,-0.04720525077481674
200304,-0.077238832151184
200305,-0.09875455288218668
200306,-0.11292069915784898
200307,-0.0971514663079336
200308,-0.08332018324002366
200309,-0.059502610552811065
200310,-0.032611468808390554
200311,-0.017506983078220028
200312,-0.012528311368027475
200401,-0.01244355823388139
200402,-0.01932283392511664
200403,-0.03847344878499919
200404,-0.07329420557579759
200405,-0.09749878600923073
200406,-0.10225326179375303
200407,-0.10012048931293394
200408,-0.08892004297593505
200409,-0.06287239478719289
200410,-0.03600639252700422
200411,-0.0139028784463785
200412,-0.005388981967094955
200501,-0.011842008842580793
200502,-0.012594530845590963
200503,-0.032678585738728415
200504,-0.0688653037603828
200505,-0.10312720510538215
200506,-0.11080988799771233
200507,-0.11075888783227107
200508,-0.0817472817711685
200509,-0.06141209974677837
200510,-0.03576963542953632
200511,-0.01606921854509273
200512,-0.008783680542987083
200601,-0.004564424279991461
200602,-0.012017698460061657
200603,-0.03021964169346836
200604,-0.06774440164735253
200605,-0.09308239606173559
200606,-0.11631744527711901
200607,-0.11792789145471011
200608,-0.07900272459880706
200609,-0.06297711139539158
200610,-0.041283990698522316
200611,-0.021930568715898092
200612,-0.015667616344282733
200701,-0.020784708567163395
200702,-0.024033095733207045
200703,-0.044148881880828605
200704,-0.0882204414258355
200705,-0.09487335410896251
200706,-0.10732275284082479
200707,-0.11013398475336146
200708,-0.09155973562617865
200709,-0.055162639937097586
200710,-0.03126982959930887
200711,-0.017173445891657802
200712,-0.012909225987971304
200801,-0.0159825079863184
200802,-0.018394135732601357
200803,-0.042685420353365686
200804,-0.060375933855702724
200805,-0.10735725169981064
200806,-0.10449890136338795
200807,-0.10608310487938527
200808,-0.08496308141202577
200809,-0.055689055151482626
200810,-0.03208947006220259
200811,-0.016844695097714454
200812,-0.006608415738691254
200901,-0.006096931309757911
200902,-0.011760745731752557
200903,-0.03978322040711491
200904,-0.07473395631027813
200905,-0.09680618201492153
200906,-0.10612568399070096
200907,-0.11577777922374924
200908,-0.09569539736402737
200909,-0.053304223283495815
200910,-0.028946658959094214
200911,-0.02667688807213856
200912,-0.009437595520341116
201001,-0.005021040190503402
201002,-0.013267201349470691
201003,-0.03936553600895559
201004,-0.07819653323486674
201005,-0.08414954113699914
201006,-0.11158440260117164
201007,-0.1113319897439034
201008,-0.08609821326628979
201009,-0.0578645721380755
201010,-0.03709599648538598
201011,-0.019945816038248652
201012,-0.003746393498262871
201101,-0.007786273639670155
201102,-0.013587136376206906
201103,-0.04439808004819109
201104,-0.07924837624927711
201105,-0.0873060220758007
201106,-0.0909871364869447
201107,-0.08586877883821452
201108,-0.09260385869628353
201109,-0.0631026662204089
201110,-0.032592921822272865
201111,-0.012455493709873587
201112,-0.01933860414924379
201201,-0.015370354643793938
201202,-0.0056171712874005415
201203,-0.04668036935000963
201204,-0.06830676311093956
201205,-0.10823866260462739
201206,-0.09566239454611443
201207,-0.11221918567390843
201208,-0.10828589150073514
201209,-0.060007835133802034
201210,-0.03613867278656065
201211,-0.01707965146120108
201212,-0.014452404222787317
201301,-0.008769077679279726
201302,-0.010943196868584611
201303,-0.02984633602801095
201304,-0.06440481441462961
201305,-0.07999533466819485
201306,-0.10663386775582243
201307,-0.12309719850006712
201308,-0.09102151371163028
201309,-0.059219148877778044
201310,-0.038654671883209195
201311,-0.02028561394148061
201312,-0.014304917825855513
201401,-0.01718768523980635
201402,-0.025706454943790594
201403,-0.04882645092782498
201404,-0.06884560660929316
201405,-0.09690342620646236
201406,-0.0999587629333412
201407,-0.10724224115181376
201408,-0.08728998282488797
201409,-0.05694095584797184
201410,-0.03608024956074901
201411,-0.017260068041810676
201412,-0.012470923611972638
201501,-0.011803334937703011
201502,-0.016251829745216342
201503,-0.042248743620385026
201504,-0.07700753871421148
201505,-0.09039204980678936
201506,-0.09925705750026569
201507,-0.09644755723568411
201508,-0.07783600802450802
201509,-0.056119600116839426
201510,-0.027694972897673927
201511,-0.019484276499364538
201512,-0.011229770304124144
201601,-0.0135129531883942
201602,-0.023460580601345
201603,-0.03776967862254795
201604,-0.06930396851895113
201605,-0.0926766282910422
201606,-0.09679921500836984
201607,-0.11350676939349502
201608,-0.09502709479109177
201609,-0.05790588225887488
201610,-0.027699923451701983
201611,-0.01837237987376013
201612,-0.005505546352254271
201701,-0.004443739894955886
201702,-0.01981183141498708
201703,-0.04875606623763705
201704,-0.0668513669596286
201705,-0.10495924974411117
201706,-0.1090899768091706
201707,-0.1022639539125816
201708,-0.0854351284834207
201709,-0.055476811870436016
201710,-0.03563039829969614
201711,-0.01760232067001905
201712,-0.012454891467586864
201801,-0.01899706219147449
201802,-0.012556593250567287
201803,-0.03262709257866552
201804,-0.0851328548832483
201805,-0.10982691147752727
201806,-0.10626671836870884
201807,-0.09801183611124123
201808,-0.06895552303048788
201809,-0.04783355020908279
201810,-0.02560115809133368
201811,-0.0164520488480937
201812,-0.015489313632996228
201901,-0.010575487658142856
201902,-0.021575389738860994
201903,-0.051240873846290225
201904,-0.07411224195119241
201905,-0.09243746450911035
201906,-0.129789666411792
201907,-0.09949885331148993
201908,-0.08630960613654816
201909,-0.04860451388429693
201910,-0.037608442828840634
201911,-0.019642130770945464
201912,-0.017204473381358196
202001,-0.013106645599464948
202002,-0.034585319236431385
202003,-0.04914640687635321
202004,-0.08189550326017911
202005,-0.10038623507404187
202006,-0.10084488562715703
202007,-0.08913879024497386
202008,-0.07288151301541212
202009,-0.04367996656512423
202010,-0.03820297894479545
202011,-0.017651518150668188
202012,-0.013880503890765486
202101,-0.010135260667723899
202102,-0.02044573953333016
202103,-0.04751064884962315
202104,-0.0715927471078488
202105,-0.09736312290728019
202106,-0.11206341757933284
202107,-0.10410912495748738
202108,-0.08944638776814896
202109,-0.06508469979238637
202110,-0.038288468441874196
202111,-0.01430044392811679
202112,-0.009569049458438625
202201,-0.011808992851049636
202202,-0.026104834924196338
202203,-0.049046631242993265
202204,-0.0704767480060944
202205,-0.10642427284519777
202206,-0.11428866706655826
202207,-0.11438005583612626
202208,-0.07431698173909328
202209,-0.05924390306953013
202210,-0.03845882228730276
202211,-0.024112729262394113
202212,-0.012829238881422114
202301,-0.019456581367966495
202302,-0.018276033111288878
202303,-0.048569015735296206
202304,-0.0666737831392746
202305,-0.10585741056425772
202306,-0.11476423381598304
202307,-0.08778316655216693
202308,-0.09343693153204122
202309,-0.07255543319264345
202310,-0.04014293247190998
202311,-0.029877805962852024
202312,-0.01746160416292953
202401,-0.014549760683515496
202402,-0.026217227282114477
202403,-0.04472773662775435
202404,-0.07765738131786912
