system:index,ET
2000_01_01,17.36336400740712
2000_01_09,26.84379216557014
2000_01_17,19.50830710536066
2000_01_25,27.485770484952244
2000_02_02,35.51754213597524
2000_02_10,40.024454200557244
2000_02_18,43.69404287693061
2000_02_26,48.38366590594086
2000_03_05,67.95492841587829
2000_03_13,78.09381191943996
2000_03_21,93.2286588411276
2000_03_29,85.29468999621886
2000_04_06,102.6175233836664
2000_04_14,142.08980618759452
2000_04_22,188.03962526865482
2000_04_30,240.76934225422596
2000_05_08,279.2657044373722
2000_05_16,229.2607026028342
2000_05_24,224.03472170127952
2000_06_01,311.4633803178658
2000_06_09,326.9190208478418
2000_06_17,297.1796097777278
2000_06_25,233.3525023078575
2000_07_03,218.276948046549
2000_07_11,194.9335470592234
2000_07_19,238.3528120802488
2000_07_27,232.5427079743305
2000_08_04,238.01666768203322
2000_08_12,234.9961274146652
2000_08_20,204.12478747080095
2000_08_28,160.87480217618835
2000_09_05,180.03068015079964
2000_09_13,140.6218172916996
2000_09_21,138.5727690995439
2000_09_29,104.22827729390237
2000_10_07,70.34007939361956
2000_10_15,72.39924936241722
2000_10_23,54.50448583467597
2000_10_31,43.501336279875915
2000_11_08,33.42364235400901
2000_11_16,25.606436767054618
2000_11_24,32.47100076602323
2000_12_02,33.01731247958176
2000_12_10,29.155674353476297
2000_12_18,22.54191376803437
2000_12_26,14.368078609482117
2001_01_01,24.6366870247173
2001_01_09,27.972729339454343
2001_01_17,26.43851152493374
2001_01_25,30.615864315988745
2001_02_02,40.254847298171654
2001_02_10,45.19486330190501
2001_02_18,48.33835904005845
2001_02_26,52.9376831655734
2001_03_06,51.95357837951662
2001_03_14,71.01268826057634
2001_03_22,87.89369296400162
2001_03_30,116.96350659500855
2001_04_07,97.08666523429605
2001_04_15,99.90571515181075
2001_04_23,151.34289521607622
2001_05_01,180.4808213066912
2001_05_09,235.89771325997145
2001_05_17,273.3706582242036
2001_05_25,293.04658864049117
2001_06_02,203.7219333144917
2001_06_10,232.1826299106226
2001_06_18,255.10025860211016
2001_06_26,264.3378873863727
2001_07_04,262.40528851437557
2001_07_12,211.04155278601579
2001_07_20,263.10105970735765
2001_07_28,247.91748661361538
2001_08_05,212.68349139944652
2001_08_13,235.26675064177775
2001_08_21,227.57524833185815
2001_08_29,144.80347643523027
2001_09_06,117.4344358480149
2001_09_14,106.07409435056435
2001_09_22,114.92735249743541
2001_09_30,124.12068789161836
2001_10_08,90.73874942308927
2001_10_16,72.71358981509086
2001_10_24,51.276897783604404
2001_11_01,41.9860108640086
2001_11_09,31.818838202241256
2001_11_17,24.103069395314
2001_11_25,20.606309000365393
2001_12_03,29.651385613739997
2001_12_11,30.16866854054461
2001_12_19,23.468934407262612
2001_12_27,9.64278391841497
2002_01_01,23.6913253038866
2002_01_09,20.868000650146318
2002_01_17,23.69037361689225
2002_01_25,31.622329081781448
2002_02_02,39.36532873680137
2002_02_10,39.72919678184502
2002_02_18,33.39019047250827
2002_02_26,60.55796086689249
2002_03_06,75.03414734877153
2002_03_14,81.47605597128857
2002_03_22,68.23266831532872
2002_03_30,99.7728902146026
2002_04_07,90.95823751780793
2002_04_15,117.42724541280877
2002_04_23,155.77699258797884
2002_05_01,148.85833485219254
2002_05_09,248.90494334935713
2002_05_17,244.91721522477783
2002_05_25,254.3427589336786
2002_06_02,289.14738601166647
2002_06_10,298.15892100096096
2002_06_18,310.6447376322666
2002_06_26,227.1193215604777
2002_07_04,247.7927650452562
2002_07_12,227.2860577319119
2002_07_20,235.3274850277145
2002_07_28,225.7213493782986
2002_08_05,204.87492556151105
2002_08_13,233.09113170339018
2002_08_21,185.36559457866875
2002_08_29,179.12954286751273
2002_09_06,159.0114138390312
